SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
9?9;08000104,0,6,400 Base                                            
32500800010<,31,1816,Hanging Dump Bin incl Ticket H                      
108:08000101,2,897,400 GF/GL Lower Base Shelf                          
93;708000301,38,881,Clip Strip                                          
<7<08000506,15,41,400 Wood Shelf                                      
777608000102,31,824,300mm Metal Shelf with Divider                      
457708000702,37,901,400 Wood Shelf with Dividers                        
:;8408000202,25,1474,TOD 250 Shelf (Inc. Ticket Str                      
639<08000104,7,1702,Three Way Gondola Shelf - Cent                      
997708000409,11,433,IQM Single Half Width Shelf                         
<84508000410,15,1556,Dummy Pack - Tray                                   
8?:608000101,28,1704,Three Way Gondola Shelf - Left                      
118:08001004,6,901,400 Wood Shelf with Dividers                        
170008000305,5,41,400 Wood Shelf                                      
6:4<08000607,1,627,Cotton Wool Basket-300mm                            
<>4?0800010=,22,1816,Hanging Dump Bin incl Ticket H                      
453:08000<06,5,252,500 Wood Shelf                                      
4=7505000701,1,891,300mm Metal Gondola Base Shelf                      
=2308000104,17,824,300mm Metal Shelf with Divider                      
<<:<08000104,7,1701,Three Way Gondola Shelf - Left                      
918808000107,31,1816,Hanging Dump Bin incl Ticket H                      
104808000111,5,896,300 Wood Shelf with Dividers                        
<:4608000205,13,41,400 Wood Shelf                                      
133>08000805,34,990,400mm Metal Shelf with Divider                      
4?7:08000204,0,6,400 Base                                            
32500800010=,27,1816,Hanging Dump Bin incl Ticket H                      
730208000201,34,41,400 Wood Shelf                                      
264208000404,26,1252,400 Wood Shelf with Navigation                      
<:5508000:04,27,100,300 Glass Shelf                                     
3>9=08000101,0,321,15" Mid Gondola Promotional Un                      
11008000203,19,1291,Magazine Shelf 2 Tier 400mm                         
<:880800011=,9,1816,Hanging Dump Bin incl Ticket H                      
2?3608000305,23,824,300mm Metal Shelf with Divider                      
3;6108000205,20,319,Fragrance Shelf                                     
<?:<08000102,25,1704,Three Way Gondola Shelf - Left                      
18;908000104,9,1704,Three Way Gondola Shelf - Left                      
:59308000104,17,990,400mm Metal Shelf with Divider                      
:=9808000101,32,1248,Three Way Gondola Shelf - Cent                      
;33108000406,7,1291,Magazine Shelf 2 Tier 400mm                         
3;6108000407,5,319,Fragrance Shelf                                     
99770800030;,5,433,IQM Single Half Width Shelf                         
60:=08000101,0,1546,400mm Mid Gondola Site                              
:13408000306,2,922,400 GF/GL Lower Base Shelf wit                      
<<:<08000103,16,1701,Three Way Gondola Shelf - Left                      
6:4<08000605,12,627,Cotton Wool Basket-300mm                            
134908000302,37,996,Integrated Microslat Extension                      
>5908000204,19,824,300mm Metal Shelf with Divider                      
<?8908000201,37,888,AS15 Bar with 200mm Hook & Pri                      
789208000503,30,1844,In-Queue Hopper Lower Section                       
75;>08000204,22,967,400 Glass Shelf with Dividers                       
:=0008000303,16,41,400 Wood Shelf                                      
>=5208000503,35,904,300 Glass Shelf with Dividers                       
1;9308000101,39,1480,TOD 500 Shelf (Inc EPOS Strip)                      
<84508000327,1,825,300mm Metal Gondola Base Shelf                      
5<5=08000104,13,42,                                                    
708808000104,7,41,400 Wood Shelf                                      
