SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
<;80800,491150,20151230,20160202,0000491150                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
6<640800,461145,20150930,21991231,Soap & Glory R&R 1 Mod        ,Soap And Glory                ,1,100020027,3,1,20151223,1,1,2,27, 
1:930800,301916,20151111,20160105,TOD3BACK                      ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
:5930800,367430,20160111,21991231,S/Tan1                        ,Self Tan In Skincare          ,1,100028343,3,255,20151223,1,1,2,8343, 
019=0800,301912,20160106,20160202,TOD2FRONT                     ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
>?7=0800,537577,20151019,21991231,PFS8G2006                     ,Premium Facial Skincare       ,8,100028243,3,1,20151223,1,1,2,8243, 
889>0800,444517,20160120,21991231,Sun Preps Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
40:<0800,22605,20160106,20160202,Mass Frag Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
08870500,362248,20120121,21991231,MCGrap2                       ,Mini Club                     ,2,100020005,3,1,20151223,1,1,2,5, 
18100800,237482,20150824,20160101,Footcare4G                    ,Footcare                      ,4,100020008,3,1,20151223,255,1,2,8, 
233;0800,450862,20150710,21991231,Phtkiosk                      ,Photo Kiosk                   ,1,168207527,3,1,20151223,1,1,6820,7527, 
=0:60800,307560,20160120,21991231,Revlon Cosmetics Hot Spot Stoc,Revlon SS Cosmetics           ,1,-1,3,255,20151223,1,1,6819,10967, 
89:<0800,209005,20151230,20160119,IQMFSDU1                      ,IQM FSDU                      ,1,168197081,3,255,20151223,2,1,6819,7081, 
06890100,4265,20060130,21991231,Film Processing Counter 2.0C  ,Film Processing Counter       ,1,100020025,3,1,20151223,1,1,2,25, 
68550800,458670,20151005,20160103,Snacks 3                      ,Snacks                        ,3,100020021,3,1,20151223,255,1,2,21, 
66790700,245361,20140913,21991231,0000245361                    ,Emergency Pog                 ,1,168207526,3,1,20151223,1,1,6820,7526, 
0?910800,523583,20151218,20151225,St/GEnd                       ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
