SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
<=:30800,Vit2 mid                                          ,Vitamins 2 Mid Gondola 300mm                                                                        ,               
;2:90800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 2 Mid Gondola Mainstream                                                   ,               
:>:90800,Mens Mid                                          ,Mens A Mid Gondola Mainstream                                                                       ,               
>:3<0800,ElecFemGroom2                                     ,Electrical Female Grooming 400mm 2.0G Destination GF                                                ,               
369:0800,BFSDU                                             ,Toiletries Branded FSDU 1 1.0Z                                                                      ,               
95>60700,CTU 9-12                                          ,PH No7 Q CTU 4mod+ 1                                                                                ,               
58310800,Greetings7                                        ,Greetings 7.0W GF                                                                                   ,               
253=0800,Child Health 2                                    ,Childrens Health 300mm 2.0G GLF - 1                                                                 ,               
<?6<0800,KidToil1                                          ,Kids Toiletries 400mm 1.0G GL                                                                       ,               
<0460800,Miss Sporty R&R 1 Mod                             ,#Miss Sporty 1 Mod R&R Product POG                                                                  ,               
37840700,3WayTGE5                                          ,PH Toiletries End 5 1.0Y Three Way Unit                                                             ,               
59<10800,SunOld                                            ,Self Tan "Old" Stock Product POG                                                                    ,               
0040700,MaxFactor R&R 3Mod G                              ,#Max Factor Cosmetics R&R 3.0G GF                                                                   ,               
85:<0800,Dep Mid                                           ,Depilatories Mid Gondola Mainstream                                                                 ,               
12960800,3WayTGE5C                                         ,Toiletries End 5 1.0Y Three Way Unit Centre                                                         ,               
8>:<0800,Colours Mid                                       ,Colours 1 Mid Gondola Mainstream                                                                    ,               
7:930800,Miss Sporty Hot Spot Stock POG                    ,Miss Sporty 1 Cosmetics Hot Spot 400mm                                                              ,               
>9990800,Prem Skin Mid                                     ,Premium Facial Skincare 2 Mid Gondola Small 300mm                                                   ,               
62410800,Mass Styling 3                                    ,Mass Styling 400mm 3.0G GF                                                                          ,               
0:9<0800,WMD mid                                           ,Weight Management 1 Mid Gondola Mainstream                                                          ,               
?:30800,0000307528                                        ,#L Oreal Cosmetics Hot Spot LGE 1 Stock POG                                                         ,               
759=0800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 2                                                                   ,               
?:80800,0000491072                                        ,Toiletries End 1 1.0Y Three Way Unit Centre                                                         ,               
65900800,0000307529                                        ,#L Oreal Cosmetics Hot Spot LGE 2 Stock POG                                                         ,               
33:70800,BFSDU                                             ,Healthcare Branded FSDU 3 1.0Z                                                                      ,               
63;20800,Collection R&R 1 Mod                              ,#Collection 1 Mod R&R Product POG                                                                   ,               
867;0800,Footcare4G                                        ,Footcare 300mm 4.0G HH1 GLF                                                                         ,               
33:90800,0000491044                                        ,Toiletries End 4 1.0Y Three Way Unit Right                                                          ,               
<<950800,3WayTGE7C                                         ,Toiletries End 7 1.0Y Three Way Unit Centre                                                         ,               
2=:90800,0000491045                                        ,Toiletries End 4 1.0Y Three Way Unit Centre                                                         ,               
=6840800,Natural Collection Cosmetics Hot Spot Stock POG   ,#Natural Collection Cosmetics Hot Spot 2 mod Stock POG                                              ,               
<69=0800,Mens Mid                                          ,Mens B Mid Gondola Mainstream                                                                       ,               
