SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
<?:<0800,491061,Toiletries End 6 1.0Y Three Way Unit Right                                                          ,               ,,
681=0800,Wipes 3                                           ,Wipes 400mm 3.0W EOT Destination GF                                                                 ,               ,,
43620800,No7 BFSDU1                                        ,PH No7 Q BFSDU1                                                                                     ,               ,,
45960800,3WayTGE5L                                         ,Toiletries End 5 1.0Y Three Way Unit Left                                                           ,               ,,
828=0800,SunOld                                            ,"PH Self Tan ""Old"" Stock Product POG                                                                 ",               ,,
289>0800,491146,Healthcare End 2 3.0Z Three Way Unit Centre                                                         ,               ,,
78020800,Innov3                                            ,Innovation, Novelty And Mens Accessories 400mm 3.0G GF                                              ,               ,
5<8=0800,491067,Toiletries End 7 1.0Y Three Way Unit Right                                                          ,               ,,
61:;0800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 1                                                                   ,               ,,
4470800,491067,Toiletries End 7 1.0Y Three Way Unit Right                                                          ,               ,,
=58?0800,490946,Toiletries End 1 1.0Y Three Way Unit Left                                                           ,               ,,
377:0800,Prem Skin Mid                                     ,Premium Facial Skincare Loreal Mid Gondola 300mm                                                    ,               ,,
;0650800,Mens Mid                                          ,Mens A Mid Gondola Mainstream                                                                       ,               ,,
12::0700,465976,PH No7 Till Unit POG 1                                                                              ,               ,,
933=0000,D&P Pricing Panels 2.0I                           ,D&P Pricing Panels 2.0I                                                                             ,               ,,
77760800,Dental 10                                         ,Dental 300mm 10.0G GLF                                                                              ,               ,,
7=530800,3WayHCSPEnd4L                                     ,Healthcare End 4 3.0Z Three Way Unit Left                                                           ,               ,,
:::<0800,Tiss Mid GL                                       ,Tissues 1 Mid Gondola Mainstream                                                                    ,               ,,
7?1;0800,LadyGEd2                                          ,Ladies Christmas Gifting End 400mm 2 1.0Y GF                                                        ,               ,,
096=0800,H1N1FSDU2 1                                       ,Travel Health BFSDU 1.0Z                                                                            ,               ,,
:59>0800,3WayTGE4L                                         ,Toiletries End 4 1.0Y Three Way Unit Left                                                           ,               ,,
